student1_id,student2_id,student1_wins,student2_wins,num_ties,student1_stack,student2_stack
b10902104,b09701248,4,1,0,5072.681905310661,4914.497286384871
b11902135,b08501002,2,3,0,3671.6,6328.0
b06401036,b11902043,1,4,0,4726,5274
b11902132,b10902125,1,4,0,2460.809011423917,7524.0
b11902145,b10202063,3,2,0,6060,3940
b10902021,b10902077,3,2,0,5005.0,4995.0
b11902067,b10502042,3,2,0,5945,4055
b10902138,b11902087,3,2,0,6066.0,3933.0
b11902132,b10902075,2,3,0,5150.0,4849
b11902085,b10902017,2,3,0,3491,6509
b09705048,b10902138,3,2,0,7600.0,2399.3333333333335
b09705048,t12902103,1,4,0,1495,8496
b11902078,b10902017,2,3,0,5653.908191699276,4342
b11902129,b11902127,1,4,0,2496.4845163466043,7500.0
b11902027,b10902124,3,2,0,5865,4132.0
b09901142,b11902127,3,2,0,7473,2527
b10902022,b10902133,4,1,0,4741.1028121,5256.50986085
b09901142,b11902129,4,1,0,7997.0,1999.0
b10201054,b11902085,2,3,0,4010,5990
b10902104,b11705011,1,4,0,2703.661170351754,7289.721287222231
b10902134,b10902067,2,3,0,5930.0,4060
b11902135,b10902101,0,5,0,4088.0,5908.58
b10401006,b10902113,2,3,0,6160,3835.0
t12902103,b11902087,0,5,0,1585,8415
b11902106,b08501002,1,4,0,3567,6433
b10505029,b10902048,1,4,0,3956.252,6042.168
b11705057,b11902087,2,3,0,2945,7055
b10902104,b11902114,0,5,0,1235.2754795614435,8753.732274173335
b10902013,b10902020,0,5,0,4685,5315
b10902024,b10705005,3,2,0,4162.91841727866,5830.583510154593
b11902129,b10902054,5,0,0,5540.205615375387,4450.409251553722
b10401006,b09303113,3,2,0,7695,2305
b10902037,b10902082,1,4,0,2219.0,7772.819876647611
b10902070,b11902023,2,3,0,3996.9648816752997,5996.662310847101
b11902138,b10502042,5,0,0,9350,650
b09705048,b09902013,1,4,0,3412.8,6583.0
b10902052,b11902051,1,4,0,4663.91259765625,5323.0
b10201054,b10902017,3,2,0,4174,5826
b11902140,r12246005,2,3,0,5260.732856718114,4730.0
b10902022,b10505057,4,1,0,5075.714549716532,4912.491536856296
b10902019,b10902017,0,5,0,1345,8655
b11705057,b09705048,1,4,0,4753,5247
b11902132,b10902115,3,2,0,7907.5,2090
b10902113,b10902032,0,5,0,4913.0,5087.0
b10902022,b11902072,0,5,0,155.0,9844.0
b07401120,b10902133,1,4,0,2024.0,7965.096
b10902061,b10902007,5,0,0,5291.86517666053,4690
b11902010,b11902110,2,3,0,4055.0,5945.0
b10902024,b11902051,1,4,0,2077.614172452507,7907.963604013363
b10902052,b10902085,3,1,1,4945.703125,5049.75
