name: baseline1, hole_card: ['S4', 'CJ']
community cards of this round: ['CA', 'H6', 'HJ', 'H9', 'DJ']
name: b10902114, hole_card: ['HA', 'H4']
name: baseline1, hole_card: ['S3', 'DK']
name: b10902114, hole_card: ['HA', 'H4']
name: baseline1, hole_card: ['S3', 'DK']
name: b10902114, hole_card: ['HA', 'H4']
name: baseline1, hole_card: ['S3', 'DK']
name: b10902114, hole_card: ['HA', 'H4']
name: baseline1, hole_card: ['S3', 'DK']
name: b10902114, hole_card: ['HA', 'H4']
name: baseline1, hole_card: ['S3', 'DK']
name: b10902114, hole_card: ['HA', 'H4']
name: baseline1, hole_card: ['S3', 'DK']
name: b10902114, hole_card: ['HA', 'H4']
name: baseline1, hole_card: ['S3', 'DK']
b10902114 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902114', 'uuid': 'wqvoypteozmhkhrhvidcrc', 'stack': 1781.0, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'ejvjbbbwezxrrzbanpwfeh', 'stack': 216.39999999999975, 'state': 'participating'}]}
community cards of this round: ['HQ', 'S8', 'CA', 'H3', 'CK']
name: baseline1, hole_card: ['S5', 'DK']
name: b10902114, hole_card: ['C9', 'D2']
name: baseline1, hole_card: ['S5', 'DK']
name: b10902114, hole_card: ['C9', 'D2']
name: baseline1, hole_card: ['S5', 'DK']
name: b10902114, hole_card: ['C9', 'D2']
name: baseline1, hole_card: ['S5', 'DK']
name: b10902114, hole_card: ['C9', 'D2']
community cards of this round: ['C3', 'SA', 'HT', 'HK', 'C4']
name: baseline1, hole_card: ['C2', 'D9']
name: b10902114, hole_card: ['D8', 'S6']
name: baseline1, hole_card: ['C2', 'D9']
name: b10902114, hole_card: ['D8', 'S6']
name: baseline1, hole_card: ['C2', 'D9']
name: b10902114, hole_card: ['D8', 'S6']
name: baseline1, hole_card: ['C2', 'D9']
name: b10902114, hole_card: ['D8', 'S6']
community cards of this round: ['HJ', 'CT', 'D4', 'C8', 'H7']
name: baseline1, hole_card: ['H9', 'S2']
name: b10902114, hole_card: ['C9', 'D9']
name: baseline1, hole_card: ['H9', 'S2']
name: b10902114, hole_card: ['C9', 'D9']
name: baseline1, hole_card: ['H9', 'S2']
name: b10902114, hole_card: ['C9', 'D9']
name: baseline1, hole_card: ['H9', 'S2']
name: b10902114, hole_card: ['C9', 'D9']
community cards of this round: ['D3', 'D5', 'ST', 'H7', 'S7']
name: baseline1, hole_card: ['C9', 'S4']
name: b10902114, hole_card: ['HA', 'D4']
name: baseline1, hole_card: ['C9', 'S4']
name: b10902114, hole_card: ['HA', 'D4']
name: baseline1, hole_card: ['C9', 'S4']
name: b10902114, hole_card: ['HA', 'D4']
name: baseline1, hole_card: ['C9', 'S4']
name: b10902114, hole_card: ['HA', 'D4']
name: baseline1, hole_card: ['C9', 'S4']
name: b10902114, hole_card: ['HA', 'D4']
name: baseline1, hole_card: ['C9', 'S4']
name: b10902114, hole_card: ['HA', 'D4']
community cards of this round: ['H8', 'SJ', 'S4', 'HA', 'DJ']
name: baseline1, hole_card: ['C7', 'C9']
name: b10902114, hole_card: ['S2', 'DT']
name: baseline1, hole_card: ['C7', 'C9']
name: b10902114, hole_card: ['S2', 'DT']
name: baseline1, hole_card: ['C7', 'C9']
name: b10902114, hole_card: ['S2', 'DT']
name: baseline1, hole_card: ['C7', 'C9']
name: b10902114, hole_card: ['S2', 'DT']
community cards of this round: ['D8', 'C2', 'CT', 'H8', 'S3']
name: baseline1, hole_card: ['S2', 'S9']
name: b10902114, hole_card: ['ST', 'S7']
name: baseline1, hole_card: ['S2', 'S9']
name: b10902114, hole_card: ['ST', 'S7']
name: baseline1, hole_card: ['S2', 'S9']
name: b10902114, hole_card: ['ST', 'S7']
name: baseline1, hole_card: ['S2', 'S9']
name: b10902114, hole_card: ['ST', 'S7']
name: baseline1, hole_card: ['S2', 'S9']
name: b10902114, hole_card: ['ST', 'S7']
name: baseline1, hole_card: ['S2', 'S9']
name: b10902114, hole_card: ['ST', 'S7']
name: baseline1, hole_card: ['S2', 'S9']
name: b10902114, hole_card: ['ST', 'S7']
