name: b09901028, hole_card: ['D4', 'HK']
name: baseline1, hole_card: ['DT', 'D9']
community cards of this round: ['C5', 'H4', 'HA', 'S2', 'D3']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
name: b09901028, hole_card: ['SK', 'DK']
name: baseline1, hole_card: ['SQ', 'D2']
community cards of this round: ['H8', 'SA', 'D9', 'S6', 'C8']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
name: b09901028, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S7', 'H3']
community cards of this round: ['S5', 'ST', 'SK', 'CK', 'H5']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
name: b09901028, hole_card: ['H6', 'D8']
name: baseline1, hole_card: ['HA', 'D7']
community cards of this round: ['HT', 'D7', 'CJ', 'S9', 'C4']
name: b09901028, hole_card: ['D5', 'C9']
name: baseline1, hole_card: ['DA', 'H7']
name: b09901028, hole_card: ['D5', 'C9']
name: baseline1, hole_card: ['DA', 'H7']
name: b09901028, hole_card: ['D5', 'C9']
name: baseline1, hole_card: ['DA', 'H7']
name: b09901028, hole_card: ['D5', 'C9']
name: baseline1, hole_card: ['DA', 'H7']
community cards of this round: ['S9', 'D9', 'C5', 'C8', 'S6']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
name: b09901028, hole_card: ['HK', 'C4']
name: baseline1, hole_card: ['C9', 'DT']
community cards of this round: ['HA', 'H5', 'D6', 'D5', 'C3']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
name: b09901028, hole_card: ['SJ', 'D3']
name: baseline1, hole_card: ['S2', 'C6']
community cards of this round: ['S2', 'DA', 'DQ', 'D9', 'CK']
name: b09901028, hole_card: ['H8', 'CQ']
