name: baseline1, hole_card: ['C8', 'SK']
name: b10902076, hole_card: ['H8', 'S8']
b10902076 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'jkqikldlqkmhjyhzblzkxi', 'stack': 0, 'state': 'folded'}, {'name': 'b10902076', 'uuid': 'tcnhfqlnhbivrsffqpitgi', 'stack': 2000, 'state': 'participating'}]}
community cards of this round: ['DK', 'C9', 'C7', 'C3', 'S5']
name: b10902076, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['D2', 'DT']
name: b10902076, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['D2', 'DT']
name: b10902076, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['D2', 'DT']
name: b10902076, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['D2', 'DT']
name: b10902076, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['D2', 'DT']
name: b10902076, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['D2', 'DT']
community cards of this round: ['D9', 'SQ', 'C7', 'SA', 'S4']
name: b10902076, hole_card: ['H2', 'S8']
name: baseline1, hole_card: ['H3', 'SJ']
name: b10902076, hole_card: ['H2', 'S8']
name: baseline1, hole_card: ['H3', 'SJ']
name: b10902076, hole_card: ['H2', 'S8']
name: baseline1, hole_card: ['H3', 'SJ']
name: b10902076, hole_card: ['H2', 'S8']
name: baseline1, hole_card: ['H3', 'SJ']
community cards of this round: ['S9', 'C2', 'C8', 'D9', 'HK']
name: b10902076, hole_card: ['CA', 'D4']
name: baseline1, hole_card: ['HT', 'H4']
name: b10902076, hole_card: ['CA', 'D4']
name: baseline1, hole_card: ['HT', 'H4']
name: b10902076, hole_card: ['CA', 'D4']
name: baseline1, hole_card: ['HT', 'H4']
name: b10902076, hole_card: ['CA', 'D4']
name: baseline1, hole_card: ['HT', 'H4']
name: b10902076, hole_card: ['CA', 'D4']
name: baseline1, hole_card: ['HT', 'H4']
name: b10902076, hole_card: ['CA', 'D4']
name: baseline1, hole_card: ['HT', 'H4']
community cards of this round: ['H2', 'SJ', 'SA', 'HA', 'C8']
name: b10902076, hole_card: ['S8', 'C6']
name: baseline1, hole_card: ['ST', 'S2']
name: b10902076, hole_card: ['S8', 'C6']
name: baseline1, hole_card: ['ST', 'S2']
name: b10902076, hole_card: ['S8', 'C6']
name: baseline1, hole_card: ['ST', 'S2']
name: b10902076, hole_card: ['S8', 'C6']
name: baseline1, hole_card: ['ST', 'S2']
community cards of this round: ['H9', 'H2', 'HT', 'HK', 'CT']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['H8', 'S8']
community cards of this round: ['C6', 'H9', 'C7', 'H7', 'H3']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10902076, hole_card: ['S8', 'CK']
name: baseline1, hole_card: ['H6', 'DQ']
community cards of this round: ['H9', 'S2', 'H3', 'HA', 'DT']
name: b10902076, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C7', 'D5']
name: b10902076, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C7', 'D5']
name: b10902076, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C7', 'D5']
name: b10902076, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C7', 'D5']
community cards of this round: ['CK', 'D9', 'D6', 'C2', 'S8']
name: b10902076, hole_card: ['D3', 'C7']
name: baseline1, hole_card: ['CT', 'DT']
name: b10902076, hole_card: ['D3', 'C7']
name: baseline1, hole_card: ['CT', 'DT']
name: b10902076, hole_card: ['D3', 'C7']
name: baseline1, hole_card: ['CT', 'DT']
name: b10902076, hole_card: ['D3', 'C7']
name: baseline1, hole_card: ['CT', 'DT']
community cards of this round: ['DT', 'S5', 'HJ', 'S9', 'DK']
name: b10902076, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['H5', 'HQ']
name: b10902076, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['H5', 'HQ']
name: b10902076, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['H5', 'HQ']
name: b10902076, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['H5', 'HQ']
name: b10902076, hole_card: ['C8', 'H3']
name: baseline1, hole_card: ['H5', 'HQ']
community cards of this round: ['D8', 'HA', 'HK', 'H3', 'C6']
name: b10902076, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S6', 'H6']
name: b10902076, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S6', 'H6']
name: b10902076, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S6', 'H6']
name: b10902076, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S6', 'H6']
community cards of this round: ['S9', 'H9', 'C8', 'D7', 'C2']
name: b10902076, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['D2', 'C4']
name: b10902076, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['D2', 'C4']
name: b10902076, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['D2', 'C4']
name: b10902076, hole_card: ['CJ', 'SQ']
name: baseline1, hole_card: ['D2', 'C4']
community cards of this round: ['SJ', 'S6', 'C8', 'C9', 'C6']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
name: b10902076, hole_card: ['HJ', 'D9']
name: baseline1, hole_card: ['DA', 'D5']
community cards of this round: ['H3', 'H4', 'H8', 'C6', 'ST']
name: b10902076, hole_card: ['DJ', 'DA']
name: baseline1, hole_card: ['S2', 'C4']
name: b10902076, hole_card: ['DJ', 'DA']
name: baseline1, hole_card: ['S2', 'C4']
name: b10902076, hole_card: ['DJ', 'DA']
name: baseline1, hole_card: ['S2', 'C4']
name: b10902076, hole_card: ['DJ', 'DA']
name: baseline1, hole_card: ['S2', 'C4']
name: b10902076, hole_card: ['DJ', 'DA']
name: baseline1, hole_card: ['S2', 'C4']
name: b10902076, hole_card: ['DJ', 'DA']
name: baseline1, hole_card: ['S2', 'C4']
name: b10902076, hole_card: ['DJ', 'DA']
