name: baseline2, hole_card: ['S4', 'C2']
name: b10902109, hole_card: ['H7', 'S6']
name: baseline2, hole_card: ['S4', 'C2']
name: b10902109, hole_card: ['H7', 'S6']
name: baseline2, hole_card: ['S4', 'C2']
community cards of this round: ['DA', 'C9', 'C5', 'H9', 'S8']
name: b10902109, hole_card: ['H5', 'D9']
name: baseline2, hole_card: ['CJ', 'C2']
name: b10902109, hole_card: ['H5', 'D9']
name: baseline2, hole_card: ['CJ', 'C2']
b10902109 vs baseline2 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902109', 'uuid': 'cbkjgctfoveyavcnqofsmd', 'stack': 1531.6419854897958, 'state': 'participating'}, {'name': 'baseline2', 'uuid': 'aogpovpjwgxitqxoogmfke', 'stack': 466.971985489796, 'state': 'participating'}]}
community cards of this round: ['H2', 'H5', 'D4', 'C9', 'C7']
name: baseline2, hole_card: ['S2', 'DK']
name: b10902109, hole_card: ['CQ', 'S8']
name: baseline2, hole_card: ['S2', 'DK']
name: b10902109, hole_card: ['CQ', 'S8']
name: baseline2, hole_card: ['S2', 'DK']
name: b10902109, hole_card: ['CQ', 'S8']
name: baseline2, hole_card: ['S2', 'DK']
name: b10902109, hole_card: ['CQ', 'S8']
community cards of this round: ['H5', 'H6', 'HA', 'C6', 'SK']
name: baseline2, hole_card: ['H3', 'ST']
name: b10902109, hole_card: ['DJ', 'S7']
name: baseline2, hole_card: ['H3', 'ST']
name: b10902109, hole_card: ['DJ', 'S7']
name: baseline2, hole_card: ['H3', 'ST']
name: b10902109, hole_card: ['DJ', 'S7']
name: baseline2, hole_card: ['H3', 'ST']
name: b10902109, hole_card: ['DJ', 'S7']
name: baseline2, hole_card: ['H3', 'ST']
name: b10902109, hole_card: ['DJ', 'S7']
name: baseline2, hole_card: ['H3', 'ST']
name: b10902109, hole_card: ['DJ', 'S7']
community cards of this round: ['DA', 'CK', 'S3', 'CQ', 'SJ']
name: baseline2, hole_card: ['D4', 'CA']
name: b10902109, hole_card: ['H4', 'HQ']
name: baseline2, hole_card: ['D4', 'CA']
name: b10902109, hole_card: ['H4', 'HQ']
name: baseline2, hole_card: ['D4', 'CA']
name: b10902109, hole_card: ['H4', 'HQ']
name: baseline2, hole_card: ['D4', 'CA']
name: b10902109, hole_card: ['H4', 'HQ']
name: baseline2, hole_card: ['D4', 'CA']
name: b10902109, hole_card: ['H4', 'HQ']
name: baseline2, hole_card: ['D4', 'CA']
name: b10902109, hole_card: ['H4', 'HQ']
name: baseline2, hole_card: ['D4', 'CA']
name: b10902109, hole_card: ['H4', 'HQ']
name: baseline2, hole_card: ['D4', 'CA']
name: b10902109, hole_card: ['H4', 'HQ']
community cards of this round: ['CQ', 'CJ', 'HQ', 'C4', 'H4']
name: baseline2, hole_card: ['DT', 'HK']
name: b10902109, hole_card: ['S8', 'DK']
name: baseline2, hole_card: ['DT', 'HK']
name: b10902109, hole_card: ['S8', 'DK']
name: baseline2, hole_card: ['DT', 'HK']
name: b10902109, hole_card: ['S8', 'DK']
community cards of this round: ['H9', 'C4', 'D9', 'CQ', 'S7']
name: baseline2, hole_card: ['H3', 'HJ']
name: b10902109, hole_card: ['H5', 'C3']
name: baseline2, hole_card: ['H3', 'HJ']
name: b10902109, hole_card: ['H5', 'C3']
community cards of this round: ['S3', 'H7', 'H3', 'SA', 'ST']
name: baseline2, hole_card: ['D7', 'C5']
name: b10902109, hole_card: ['C8', 'DJ']
name: baseline2, hole_card: ['D7', 'C5']
name: b10902109, hole_card: ['C8', 'DJ']
name: baseline2, hole_card: ['D7', 'C5']
name: b10902109, hole_card: ['C8', 'DJ']
community cards of this round: ['C9', 'CT', 'DT', 'S9', 'S4']
name: baseline2, hole_card: ['CA', 'HA']
name: b10902109, hole_card: ['S5', 'HK']
name: baseline2, hole_card: ['CA', 'HA']
name: b10902109, hole_card: ['S5', 'HK']
community cards of this round: ['CA', 'C8', 'H7', 'C9', 'S8']
name: baseline2, hole_card: ['HJ', 'SJ']
name: b10902109, hole_card: ['D9', 'DJ']
name: baseline2, hole_card: ['HJ', 'SJ']
name: b10902109, hole_card: ['D9', 'DJ']
name: baseline2, hole_card: ['HJ', 'SJ']
name: b10902109, hole_card: ['D9', 'DJ']
community cards of this round: ['C4', 'S4', 'S8', 'C6', 'C5']
name: baseline2, hole_card: ['CT', 'DK']
name: b10902109, hole_card: ['CA', 'SJ']
name: baseline2, hole_card: ['CT', 'DK']
name: b10902109, hole_card: ['CA', 'SJ']
community cards of this round: ['SQ', 'H9', 'CQ', 'H6', 'H4']
name: baseline2, hole_card: ['C6', 'CJ']
name: b10902109, hole_card: ['HT', 'C7']
name: baseline2, hole_card: ['C6', 'CJ']
name: b10902109, hole_card: ['HT', 'C7']
name: baseline2, hole_card: ['C6', 'CJ']
name: b10902109, hole_card: ['HT', 'C7']
community cards of this round: ['D2', 'S8', 'H8', 'CK', 'SK']
name: baseline2, hole_card: ['HT', 'S2']
name: b10902109, hole_card: ['H2', 'DT']
name: baseline2, hole_card: ['HT', 'S2']
name: b10902109, hole_card: ['H2', 'DT']
community cards of this round: ['C9', 'H9', 'H7', 'HJ', 'C6']
name: baseline2, hole_card: ['HT', 'H5']
name: b10902109, hole_card: ['CK', 'D5']
name: baseline2, hole_card: ['HT', 'H5']
name: b10902109, hole_card: ['CK', 'D5']
name: baseline2, hole_card: ['HT', 'H5']
name: b10902109, hole_card: ['CK', 'D5']
community cards of this round: ['C9', 'ST', 'D2', 'HA', 'SQ']
name: baseline2, hole_card: ['D8', 'DA']
name: b10902109, hole_card: ['CK', 'SK']
name: baseline2, hole_card: ['D8', 'DA']
name: b10902109, hole_card: ['CK', 'SK']
name: baseline2, hole_card: ['D8', 'DA']
name: b10902109, hole_card: ['CK', 'SK']
name: baseline2, hole_card: ['D8', 'DA']
name: b10902109, hole_card: ['CK', 'SK']
name: baseline2, hole_card: ['D8', 'DA']
name: b10902109, hole_card: ['CK', 'SK']
