name: baseline1, hole_card: ['C8', 'D4']
name: b10902087, hole_card: ['SA', 'C9']
name: baseline1, hole_card: ['C8', 'D4']
name: b10902087, hole_card: ['SA', 'C9']
community cards of this round: ['CA', 'H5', 'C2', 'HA', 'DJ']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
name: baseline1, hole_card: ['S8', 'D8']
name: b10902087, hole_card: ['D6', 'DK']
community cards of this round: ['DQ', 'H9', 'S8', 'S5', 'DA']
name: baseline1, hole_card: ['HQ', 'S4']
name: b10902087, hole_card: ['D3', 'SK']
name: baseline1, hole_card: ['HQ', 'S4']
name: b10902087, hole_card: ['D3', 'SK']
community cards of this round: ['H7', 'D7', 'S8', 'DQ', 'DJ']
name: baseline1, hole_card: ['HQ', 'C5']
name: b10902087, hole_card: ['C9', 'DA']
name: baseline1, hole_card: ['HQ', 'C5']
name: b10902087, hole_card: ['C9', 'DA']
name: baseline1, hole_card: ['HQ', 'C5']
name: b10902087, hole_card: ['C9', 'DA']
name: baseline1, hole_card: ['HQ', 'C5']
