name: b10902014, hole_card: ['H4', 'S9']
name: baseline1, hole_card: ['H6', 'HK']
name: b10902014, hole_card: ['H4', 'S9']
name: baseline1, hole_card: ['H6', 'HK']
community cards of this round: ['CT', 'HQ', 'HT', 'H9', 'CQ']
name: b10902014, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D4', 'SJ']
name: b10902014, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D4', 'SJ']
name: b10902014, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D4', 'SJ']
community cards of this round: ['S3', 'D3', 'S4', 'D9', 'ST']
name: b10902014, hole_card: ['D6', 'DJ']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902014, hole_card: ['D6', 'DJ']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902014, hole_card: ['D6', 'DJ']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902014, hole_card: ['D6', 'DJ']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902014, hole_card: ['D6', 'DJ']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902014, hole_card: ['D6', 'DJ']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902014, hole_card: ['D6', 'DJ']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902014, hole_card: ['D6', 'DJ']
name: baseline1, hole_card: ['DT', 'CT']
community cards of this round: ['D4', 'C4', 'CJ', 'C2', 'H3']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
name: b10902014, hole_card: ['HA', 'S3']
name: baseline1, hole_card: ['SQ', 'DJ']
community cards of this round: ['C3', 'SA', 'C2', 'S8', 'SJ']
