name: baseline1, hole_card: ['HA', 'D5']
name: b11902110, hole_card: ['CT', 'H8']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902110, hole_card: ['CT', 'H8']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902110, hole_card: ['CT', 'H8']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902110, hole_card: ['CT', 'H8']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902110, hole_card: ['CT', 'H8']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902110, hole_card: ['CT', 'H8']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902110, hole_card: ['CT', 'H8']
name: baseline1, hole_card: ['HA', 'D5']
community cards of this round: ['S3', 'C3', 'D3', 'H5', 'HK']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
name: b11902110, hole_card: ['S2', 'S4']
name: baseline1, hole_card: ['D5', 'DT']
community cards of this round: ['H7', 'C3', 'D3', 'S3', 'DT']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
name: b11902110, hole_card: ['H9', 'SK']
name: baseline1, hole_card: ['ST', 'H4']
community cards of this round: ['DA', 'HJ', 'H7', 'SK', 'D8']
name: b11902110, hole_card: ['CA', 'H6']
name: baseline1, hole_card: ['SJ', 'DQ']
name: b11902110, hole_card: ['CA', 'H6']
name: baseline1, hole_card: ['SJ', 'DQ']
name: b11902110, hole_card: ['CA', 'H6']
name: baseline1, hole_card: ['SJ', 'DQ']
community cards of this round: ['H3', 'H6', 'HJ', 'HT', 'ST']
name: b11902110, hole_card: ['D8', 'CA']
name: baseline1, hole_card: ['S9', 'DA']
