community cards of this round: ['D5', 'C2', 'HK', 'DJ', 'CT']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
name: baseline1, hole_card: ['H4', 'SQ']
name: b09701214, hole_card: ['H6', 'DK']
community cards of this round: ['C3', 'C7', 'C8', 'D4', 'H7']
name: baseline1, hole_card: ['S6', 'CJ']
name: b09701214, hole_card: ['C2', 'D9']
name: baseline1, hole_card: ['S6', 'CJ']
name: b09701214, hole_card: ['C2', 'D9']
community cards of this round: ['D3', 'DK', 'S6', 'D5', 'HQ']
name: baseline1, hole_card: ['C2', 'CT']
name: b09701214, hole_card: ['H9', 'S7']
name: baseline1, hole_card: ['C2', 'CT']
name: b09701214, hole_card: ['H9', 'S7']
name: baseline1, hole_card: ['C2', 'CT']
name: b09701214, hole_card: ['H9', 'S7']
name: baseline1, hole_card: ['C2', 'CT']
name: b09701214, hole_card: ['H9', 'S7']
community cards of this round: ['SA', 'HJ', 'H9', 'H6', 'CA']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09701214, hole_card: ['H5', 'D6']
name: baseline1, hole_card: ['HQ', 'SK']
name: b09701214, hole_card: ['H5', 'D6']
