name: baseline1, hole_card: ['S3', 'CT']
name: b10902067, hole_card: ['HJ', 'H2']
name: baseline1, hole_card: ['S3', 'CT']
name: b10902067, hole_card: ['HJ', 'H2']
name: baseline1, hole_card: ['S3', 'CT']
community cards of this round: ['D5', 'S3', 'HA', 'D9', 'D6']
name: b10902067, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['D8', 'C3']
name: b10902067, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['D8', 'C3']
community cards of this round: ['SJ', 'CQ', 'H4', 'HT', 'C2']
name: b10902067, hole_card: ['DJ', 'D2']
name: baseline1, hole_card: ['S5', 'C6']
name: b10902067, hole_card: ['DJ', 'D2']
name: baseline1, hole_card: ['S5', 'C6']
name: b10902067, hole_card: ['DJ', 'D2']
name: baseline1, hole_card: ['S5', 'C6']
community cards of this round: ['D4', 'S2', 'S3', 'D5', 'SJ']
name: b10902067, hole_card: ['CQ', 'C9']
name: baseline1, hole_card: ['S7', 'HT']
name: b10902067, hole_card: ['CQ', 'C9']
name: baseline1, hole_card: ['S7', 'HT']
community cards of this round: ['S3', 'SJ', 'C5', 'S9', 'S4']
name: b10902067, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['DT', 'D4']
name: b10902067, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['DT', 'D4']
name: b10902067, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['DT', 'D4']
community cards of this round: ['DQ', 'C8', 'H7', 'SJ', 'SQ']
name: b10902067, hole_card: ['CQ', 'H3']
name: baseline1, hole_card: ['HK', 'CK']
name: b10902067, hole_card: ['CQ', 'H3']
name: baseline1, hole_card: ['HK', 'CK']
b10902067 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902067', 'uuid': 'qlpfnwizktssxddifjdykc', 'stack': 1020, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'dvnqgazlsiclwopoumdtph', 'stack': 979.421875, 'state': 'participating'}]}
community cards of this round: ['CQ', 'HA', 'HK', 'D5', 'SQ']
name: baseline1, hole_card: ['HJ', 'CA']
name: b10902067, hole_card: ['D2', 'DJ']
name: baseline1, hole_card: ['HJ', 'CA']
name: b10902067, hole_card: ['D2', 'DJ']
name: baseline1, hole_card: ['HJ', 'CA']
name: b10902067, hole_card: ['D2', 'DJ']
name: baseline1, hole_card: ['HJ', 'CA']
name: b10902067, hole_card: ['D2', 'DJ']
