name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902075, hole_card: ['HQ', 'DJ']
community cards of this round: ['DT', 'D8', 'HT', 'H6', 'C8']
name: baseline1, hole_card: ['ST', 'DQ']
name: b10902075, hole_card: ['D2', 'D9']
name: baseline1, hole_card: ['ST', 'DQ']
name: b10902075, hole_card: ['D2', 'D9']
community cards of this round: ['C6', 'DK', 'CA', 'C5', 'S8']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['C3', 'S9']
name: b10902075, hole_card: ['DA', 'DQ']
community cards of this round: ['D6', 'C5', 'D8', 'S7', 'C7']
name: baseline1, hole_card: ['S8', 'CK']
name: b10902075, hole_card: ['H6', 'DT']
name: baseline1, hole_card: ['S8', 'CK']
name: b10902075, hole_card: ['H6', 'DT']
community cards of this round: ['HK', 'HA', 'ST', 'S7', 'C9']
name: baseline1, hole_card: ['DK', 'CQ']
name: b10902075, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['DK', 'CQ']
name: b10902075, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['DK', 'CQ']
name: b10902075, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['DK', 'CQ']
name: b10902075, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['DK', 'CQ']
name: b10902075, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['DK', 'CQ']
name: b10902075, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['DK', 'CQ']
name: b10902075, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['DK', 'CQ']
name: b10902075, hole_card: ['SA', 'C2']
community cards of this round: ['SK', 'DT', 'H2', 'H3', 'HA']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902075, hole_card: ['SQ', 'D2']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902075, hole_card: ['SQ', 'D2']
community cards of this round: ['DA', 'H9', 'CJ', 'DK', 'S7']
name: baseline1, hole_card: ['D7', 'ST']
name: b10902075, hole_card: ['H6', 'C7']
name: baseline1, hole_card: ['D7', 'ST']
name: b10902075, hole_card: ['H6', 'C7']
name: baseline1, hole_card: ['D7', 'ST']
name: b10902075, hole_card: ['H6', 'C7']
community cards of this round: ['DT', 'HK', 'S3', 'SQ', 'SA']
name: baseline1, hole_card: ['D5', 'ST']
name: b10902075, hole_card: ['S8', 'S6']
name: baseline1, hole_card: ['D5', 'ST']
name: b10902075, hole_card: ['S8', 'S6']
community cards of this round: ['C2', 'S8', 'DQ', 'CQ', 'CJ']
name: baseline1, hole_card: ['C7', 'D2']
name: b10902075, hole_card: ['CK', 'S5']
name: baseline1, hole_card: ['C7', 'D2']
name: b10902075, hole_card: ['CK', 'S5']
