name: b10902034, hole_card: ['CJ', 'H6']
name: baseline1, hole_card: ['S9', 'C4']
name: b10902034, hole_card: ['CJ', 'H6']
name: baseline1, hole_card: ['S9', 'C4']
name: b10902034, hole_card: ['CJ', 'H6']
name: baseline1, hole_card: ['S9', 'C4']
name: b10902034, hole_card: ['CJ', 'H6']
name: baseline1, hole_card: ['S9', 'C4']
name: b10902034, hole_card: ['CJ', 'H6']
name: baseline1, hole_card: ['S9', 'C4']
name: b10902034, hole_card: ['CJ', 'H6']
name: baseline1, hole_card: ['S9', 'C4']
name: b10902034, hole_card: ['CJ', 'H6']
community cards of this round: ['HJ', 'D8', 'C6', 'C2', 'H4']
name: baseline1, hole_card: ['H9', 'DK']
name: b10902034, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['H9', 'DK']
name: b10902034, hole_card: ['S6', 'D4']
community cards of this round: ['DQ', 'H9', 'H6', 'S4', 'CJ']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
name: baseline1, hole_card: ['HJ', 'HA']
name: b10902034, hole_card: ['CQ', 'SA']
community cards of this round: ['C3', 'C9', 'C8', 'H6', 'DT']
name: baseline1, hole_card: ['S6', 'C4']
name: b10902034, hole_card: ['H3', 'D9']
name: baseline1, hole_card: ['S6', 'C4']
name: b10902034, hole_card: ['H3', 'D9']
community cards of this round: ['C3', 'DA', 'D7', 'H4', 'DK']
name: baseline1, hole_card: ['D4', 'C7']
name: b10902034, hole_card: ['DQ', 'S9']
name: baseline1, hole_card: ['D4', 'C7']
name: b10902034, hole_card: ['DQ', 'S9']
name: baseline1, hole_card: ['D4', 'C7']
name: b10902034, hole_card: ['DQ', 'S9']
community cards of this round: ['D7', 'DK', 'D2', 'DQ', 'D3']
name: baseline1, hole_card: ['C9', 'SJ']
name: b10902034, hole_card: ['CK', 'H7']
name: baseline1, hole_card: ['C9', 'SJ']
name: b10902034, hole_card: ['CK', 'H7']
community cards of this round: ['S9', 'DJ', 'DQ', 'H6', 'C7']
name: baseline1, hole_card: ['CK', 'C8']
name: b10902034, hole_card: ['DK', 'CT']
name: baseline1, hole_card: ['CK', 'C8']
name: b10902034, hole_card: ['DK', 'CT']
name: baseline1, hole_card: ['CK', 'C8']
name: b10902034, hole_card: ['DK', 'CT']
community cards of this round: ['H4', 'C3', 'D4', 'C9', 'HJ']
name: baseline1, hole_card: ['S8', 'H5']
name: b10902034, hole_card: ['HA', 'SA']
name: baseline1, hole_card: ['S8', 'H5']
name: b10902034, hole_card: ['HA', 'SA']
community cards of this round: ['H5', 'D3', 'S4', 'H6', 'S6']
name: baseline1, hole_card: ['S7', 'S2']
name: b10902034, hole_card: ['S9', 'C2']
name: baseline1, hole_card: ['S7', 'S2']
name: b10902034, hole_card: ['S9', 'C2']
name: baseline1, hole_card: ['S7', 'S2']
name: b10902034, hole_card: ['S9', 'C2']
community cards of this round: ['HJ', 'C3', 'CA', 'CJ', 'HT']
name: baseline1, hole_card: ['H8', 'S3']
name: b10902034, hole_card: ['D3', 'D4']
name: baseline1, hole_card: ['H8', 'S3']
name: b10902034, hole_card: ['D3', 'D4']
community cards of this round: ['D5', 'S2', 'HK', 'D7', 'D9']
name: baseline1, hole_card: ['H8', 'DA']
name: b10902034, hole_card: ['C6', 'CQ']
name: baseline1, hole_card: ['H8', 'DA']
name: b10902034, hole_card: ['C6', 'CQ']
name: baseline1, hole_card: ['H8', 'DA']
name: b10902034, hole_card: ['C6', 'CQ']
community cards of this round: ['H5', 'S6', 'C5', 'S3', 'D8']
name: baseline1, hole_card: ['C3', 'HJ']
name: b10902034, hole_card: ['SA', 'C9']
name: baseline1, hole_card: ['C3', 'HJ']
name: b10902034, hole_card: ['SA', 'C9']
community cards of this round: ['C4', 'C3', 'S2', 'D3', 'D7']
name: baseline1, hole_card: ['S4', 'H6']
name: b10902034, hole_card: ['H5', 'DQ']
name: baseline1, hole_card: ['S4', 'H6']
name: b10902034, hole_card: ['H5', 'DQ']
name: baseline1, hole_card: ['S4', 'H6']
name: b10902034, hole_card: ['H5', 'DQ']
community cards of this round: ['CQ', 'C8', 'D3', 'S7', 'C6']
name: baseline1, hole_card: ['CA', 'C9']
name: b10902034, hole_card: ['HK', 'SK']
name: baseline1, hole_card: ['CA', 'C9']
name: b10902034, hole_card: ['HK', 'SK']
community cards of this round: ['HJ', 'S6', 'C9', 'DQ', 'HA']
name: baseline1, hole_card: ['CQ', 'D2']
name: b10902034, hole_card: ['H7', 'H2']
name: baseline1, hole_card: ['CQ', 'D2']
name: b10902034, hole_card: ['H7', 'H2']
name: baseline1, hole_card: ['CQ', 'D2']
