name: baseline1, hole_card: ['H3', 'C7']
community cards of this round: ['D8', 'DT', 'CK', 'C8', 'DA']
name: b10902113, hole_card: ['H9', 'D2']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902113, hole_card: ['H9', 'D2']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902113, hole_card: ['H9', 'D2']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902113, hole_card: ['H9', 'D2']
name: baseline1, hole_card: ['D4', 'S3']
community cards of this round: ['DA', 'HQ', 'H8', 'S7', 'ST']
name: b10902113, hole_card: ['H5', 'HK']
name: baseline1, hole_card: ['C2', 'DT']
name: b10902113, hole_card: ['H5', 'HK']
name: baseline1, hole_card: ['C2', 'DT']
name: b10902113, hole_card: ['H5', 'HK']
name: baseline1, hole_card: ['C2', 'DT']
name: b10902113, hole_card: ['H5', 'HK']
name: baseline1, hole_card: ['C2', 'DT']
name: b10902113, hole_card: ['H5', 'HK']
name: baseline1, hole_card: ['C2', 'DT']
name: b10902113, hole_card: ['H5', 'HK']
name: baseline1, hole_card: ['C2', 'DT']
name: b10902113, hole_card: ['H5', 'HK']
name: baseline1, hole_card: ['C2', 'DT']
community cards of this round: ['SK', 'HK', 'CJ', 'S4', 'C6']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
name: b10902113, hole_card: ['S3', 'ST']
name: baseline1, hole_card: ['DA', 'C7']
community cards of this round: ['D7', 'CK', 'H4', 'D9', 'DA']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['H9', 'C7']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['H9', 'C7']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['H9', 'C7']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['H9', 'C7']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['H9', 'C7']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['H9', 'C7']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['H9', 'C7']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['H9', 'C7']
community cards of this round: ['H3', 'D7', 'H5', 'CK', 'S7']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['HT', 'HQ']
community cards of this round: ['CT', 'HT', 'D9', 'H6', 'C3']
name: b10902113, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['H9', 'DK']
name: b10902113, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['H9', 'DK']
name: b10902113, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['H9', 'DK']
name: b10902113, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['H9', 'DK']
name: b10902113, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['H9', 'DK']
name: b10902113, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['H9', 'DK']
community cards of this round: ['CQ', 'DQ', 'ST', 'D4', 'D8']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
name: b10902113, hole_card: ['CT', 'HJ']
name: baseline1, hole_card: ['CJ', 'HK']
community cards of this round: ['D4', 'H7', 'S6', 'H6', 'HA']
name: b10902113, hole_card: ['HJ', 'DJ']
name: baseline1, hole_card: ['C9', 'DT']
name: b10902113, hole_card: ['HJ', 'DJ']
name: baseline1, hole_card: ['C9', 'DT']
community cards of this round: ['C4', 'H3', 'DQ', 'D7', 'H9']
name: b10902113, hole_card: ['SA', 'DA']
name: baseline1, hole_card: ['CK', 'C9']
name: b10902113, hole_card: ['SA', 'DA']
name: baseline1, hole_card: ['CK', 'C9']
name: b10902113, hole_card: ['SA', 'DA']
name: baseline1, hole_card: ['CK', 'C9']
community cards of this round: ['D8', 'SQ', 'DQ', 'CJ', 'D4']
name: b10902113, hole_card: ['H5', 'CQ']
name: baseline1, hole_card: ['D5', 'ST']
name: b10902113, hole_card: ['H5', 'CQ']
name: baseline1, hole_card: ['D5', 'ST']
community cards of this round: ['HA', 'D7', 'DQ', 'CA', 'S2']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['DK', 'S9']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['DK', 'S9']
name: b10902113, hole_card: ['D5', 'H3']
name: baseline1, hole_card: ['DK', 'S9']
community cards of this round: ['D4', 'H8', 'H6', 'SJ', 'H3']
name: b10902113, hole_card: ['H5', 'HJ']
name: baseline1, hole_card: ['C7', 'H9']
name: b10902113, hole_card: ['H5', 'HJ']
name: baseline1, hole_card: ['C7', 'H9']
community cards of this round: ['DA', 'HK', 'S7', 'C4', 'H8']
name: b10902113, hole_card: ['DT', 'CT']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['DT', 'CT']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['DT', 'CT']
name: baseline1, hole_card: ['H4', 'D5']
community cards of this round: ['SK', 'HJ', 'S4', 'D6', 'H9']
name: b10902113, hole_card: ['C2', 'SA']
name: baseline1, hole_card: ['SJ', 'H8']
name: b10902113, hole_card: ['C2', 'SA']
name: baseline1, hole_card: ['SJ', 'H8']
community cards of this round: ['D5', 'H8', 'HK', 'D3', 'DQ']
name: b10902113, hole_card: ['CA', 'DA']
name: baseline1, hole_card: ['D4', 'D7']
name: b10902113, hole_card: ['CA', 'DA']
name: baseline1, hole_card: ['D4', 'D7']
name: b10902113, hole_card: ['CA', 'DA']
name: baseline1, hole_card: ['D4', 'D7']
community cards of this round: ['HA', 'C6', 'C7', 'H7', 'HT']
name: b10902113, hole_card: ['DA', 'S8']
name: baseline1, hole_card: ['C9', 'S7']
name: b10902113, hole_card: ['DA', 'S8']
name: baseline1, hole_card: ['C9', 'S7']
b10902113 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902113', 'uuid': 'ouugugkpjdvslvwirsbtzc', 'stack': 1010.0, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'rjnzxgecnicgfxrjqeknke', 'stack': 990.0, 'state': 'participating'}]}
community cards of this round: ['H5', 'CK', 'C7', 'DJ', 'H7']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
name: baseline1, hole_card: ['C9', 'HQ']
name: b10902113, hole_card: ['H8', 'H4']
community cards of this round: ['DJ', 'S4', 'H8', 'S7', 'CT']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['HT', 'HA']
name: b10902113, hole_card: ['H4', 'C9']
