name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['C7', 'D3']
name: b10502058, hole_card: ['ST', 'S9']
community cards of this round: ['S8', 'S9', 'H3', 'C6', 'DQ']
name: baseline1, hole_card: ['C7', 'HT']
name: b10502058, hole_card: ['D4', 'D3']
name: baseline1, hole_card: ['C7', 'HT']
name: b10502058, hole_card: ['D4', 'D3']
community cards of this round: ['S4', 'H3', 'C8', 'CJ', 'CA']
name: baseline1, hole_card: ['H7', 'C9']
name: b10502058, hole_card: ['DT', 'DJ']
name: baseline1, hole_card: ['H7', 'C9']
name: b10502058, hole_card: ['DT', 'DJ']
name: baseline1, hole_card: ['H7', 'C9']
name: b10502058, hole_card: ['DT', 'DJ']
community cards of this round: ['C4', 'CK', 'SQ', 'HT', 'S8']
name: baseline1, hole_card: ['SJ', 'C8']
name: b10502058, hole_card: ['S5', 'C3']
name: baseline1, hole_card: ['SJ', 'C8']
name: b10502058, hole_card: ['S5', 'C3']
community cards of this round: ['C8', 'C3', 'CT', 'D2', 'SJ']
name: baseline1, hole_card: ['CA', 'D7']
name: b10502058, hole_card: ['HJ', 'D6']
name: baseline1, hole_card: ['CA', 'D7']
name: b10502058, hole_card: ['HJ', 'D6']
name: baseline1, hole_card: ['CA', 'D7']
name: b10502058, hole_card: ['HJ', 'D6']
community cards of this round: ['S2', 'S7', 'DJ', 'D3', 'D5']
name: baseline1, hole_card: ['CT', 'DK']
name: b10502058, hole_card: ['H4', 'C8']
name: baseline1, hole_card: ['CT', 'DK']
name: b10502058, hole_card: ['H4', 'C8']
community cards of this round: ['D2', 'SK', 'S8', 'H4', 'C8']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10502058, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10502058, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['H6', 'DQ']
name: b10502058, hole_card: ['D7', 'SA']
community cards of this round: ['H6', 'CK', 'D3', 'C7', 'CA']
name: baseline1, hole_card: ['H8', 'HK']
