name: b11902051, hole_card: ['D5', 'H9']
name: baseline1, hole_card: ['HQ', 'H2']
name: b11902051, hole_card: ['D5', 'H9']
name: baseline1, hole_card: ['HQ', 'H2']
name: b11902051, hole_card: ['D5', 'H9']
name: baseline1, hole_card: ['HQ', 'H2']
name: b11902051, hole_card: ['D5', 'H9']
name: baseline1, hole_card: ['HQ', 'H2']
name: b11902051, hole_card: ['D5', 'H9']
community cards of this round: ['D9', 'H9', 'C2', 'C9', 'D2']
name: baseline1, hole_card: ['C3', 'C4']
name: b11902051, hole_card: ['SJ', 'CT']
name: baseline1, hole_card: ['C3', 'C4']
name: b11902051, hole_card: ['SJ', 'CT']
community cards of this round: ['DT', 'D3', 'H2', 'S3', 'H6']
name: baseline1, hole_card: ['H5', 'C3']
name: b11902051, hole_card: ['C8', 'S8']
name: baseline1, hole_card: ['H5', 'C3']
name: b11902051, hole_card: ['C8', 'S8']
name: baseline1, hole_card: ['H5', 'C3']
name: b11902051, hole_card: ['C8', 'S8']
community cards of this round: ['S7', 'HK', 'H9', 'C8', 'H4']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902051, hole_card: ['SK', 'H5']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902051, hole_card: ['SK', 'H5']
community cards of this round: ['CJ', 'H9', 'C5', 'H3', 'D9']
name: baseline1, hole_card: ['S2', 'HT']
name: b11902051, hole_card: ['H8', 'SK']
name: baseline1, hole_card: ['S2', 'HT']
name: b11902051, hole_card: ['H8', 'SK']
name: baseline1, hole_card: ['S2', 'HT']
name: b11902051, hole_card: ['H8', 'SK']
community cards of this round: ['S5', 'CT', 'CA', 'D2', 'SQ']
name: baseline1, hole_card: ['HA', 'CQ']
name: b11902051, hole_card: ['S4', 'SA']
name: baseline1, hole_card: ['HA', 'CQ']
name: b11902051, hole_card: ['S4', 'SA']
community cards of this round: ['C2', 'H4', 'H9', 'CT', 'HJ']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902051, hole_card: ['CA', 'SA']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902051, hole_card: ['CA', 'SA']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902051, hole_card: ['CA', 'SA']
community cards of this round: ['C7', 'S4', 'ST', 'D4', 'S8']
name: baseline1, hole_card: ['H5', 'C8']
name: b11902051, hole_card: ['H6', 'S9']
name: baseline1, hole_card: ['H5', 'C8']
name: b11902051, hole_card: ['H6', 'S9']
community cards of this round: ['S3', 'H9', 'C5', 'S2', 'SJ']
name: baseline1, hole_card: ['CQ', 'H8']
name: b11902051, hole_card: ['D6', 'H6']
name: baseline1, hole_card: ['CQ', 'H8']
name: b11902051, hole_card: ['D6', 'H6']
name: baseline1, hole_card: ['CQ', 'H8']
name: b11902051, hole_card: ['D6', 'H6']
community cards of this round: ['D6', 'S4', 'H7', 'H2', 'DJ']
name: baseline1, hole_card: ['H6', 'HQ']
name: b11902051, hole_card: ['DQ', 'H8']
name: baseline1, hole_card: ['H6', 'HQ']
name: b11902051, hole_card: ['DQ', 'H8']
community cards of this round: ['D4', 'HT', 'ST', 'D9', 'DT']
name: baseline1, hole_card: ['C7', 'C9']
name: b11902051, hole_card: ['S6', 'S9']
name: baseline1, hole_card: ['C7', 'C9']
name: b11902051, hole_card: ['S6', 'S9']
name: baseline1, hole_card: ['C7', 'C9']
name: b11902051, hole_card: ['S6', 'S9']
community cards of this round: ['HJ', 'S9', 'SA', 'SQ', 'C2']
name: baseline1, hole_card: ['H3', 'H2']
name: b11902051, hole_card: ['CK', 'HK']
name: baseline1, hole_card: ['H3', 'H2']
name: b11902051, hole_card: ['CK', 'HK']
